i,LSOA11CD_props,area_props,area_total,LSOA11CD_majority
75637,"['E01021741', 'E01021761', 'E01021760']","[0.918, 0.081, 0.0]",4000000.0,E01021741
75638,"['E01021741', 'E01021768', 'E01021867', 'E01021761', 'E01021860', 'E01021861', 'E01021862', 'E01021858', 'E01021838', 'E01021859']","[0.421, 0.396, 0.065, 0.042, 0.039, 0.014, 0.01, 0.009, 0.004, 0.0]",4000000.0,E01021741
75639,"['E01021870', 'E01021837', 'E01021861', 'E01021820', 'E01021823', 'E01021871', 'E01021838', 'E01021822', 'E01021819', 'E01021858', 'E01021821', 'E01021869', 'E01021859', 'E01021860', 'E01021868', 'E01021846', 'E01021768', 'E01021835', 'E01021852', 'E01021862']","[0.124, 0.091, 0.084, 0.081, 0.077, 0.077, 0.068, 0.067, 0.062, 0.054, 0.053, 0.042, 0.03, 0.03, 0.017, 0.015, 0.013, 0.012, 0.003, 0.001]",4000000.0,E01021870
75640,"['E01021853', 'E01021845', 'E01021846', 'E01021849', 'E01021852', 'E01021848', 'E01021847', 'E01021844', 'E01021851', 'E01021850', 'E01021870', 'E01021872', 'E01021868', 'E01023492', 'E01021843', 'E01021820']","[0.238, 0.12, 0.104, 0.096, 0.092, 0.075, 0.062, 0.06, 0.057, 0.05, 0.018, 0.011, 0.011, 0.003, 0.002, 0.002]",4000000.0,E01021853
75641,"['E01023492', 'E01023500', 'E01021848', 'E01023496', 'E01021845', 'E01021853']","[0.364, 0.253, 0.154, 0.139, 0.066, 0.025]",4000000.0,E01023492
75642,"['E01023496', 'E01023492', 'E01023500', 'E01023501']","[0.905, 0.051, 0.033, 0.01]",4000000.0,E01023496
75643,['E01023496'],[1.0],4000000.0,E01023496
75644,"['E01023496', 'E01023497']","[0.987, 0.013]",4000000.0,E01023496
75645,"['E01023493', 'E01023496', 'E01023453', 'E01023461']","[0.537, 0.294, 0.145, 0.025]",4000000.0,E01023493
75646,"['E01023493', 'E01023453', 'E01022089']","[0.842, 0.086, 0.072]",4000000.0,E01023493
75647,"['E01023493', 'E01022089']","[0.762, 0.238]",4000000.0,E01023493
75648,"['E01023493', 'E01022089']","[0.702, 0.298]",4000000.0,E01023493
75649,"['E01023493', 'E01022089']","[0.557, 0.443]",4000000.0,E01023493
75650,"['E01022061', 'E01023462', 'E01022089', 'E01023493']","[0.357, 0.286, 0.286, 0.071]",4000000.0,E01022061
75651,"['E01022061', 'E01022098', 'E01023462']","[0.968, 0.018, 0.014]",4000000.0,E01022061
75652,"['E01022098', 'E01022061', 'E01022071']","[0.436, 0.421, 0.143]",4000000.0,E01022098
75653,"['E01022098', 'E01022071']","[0.99, 0.01]",4000000.0,E01022098
75654,['E01022098'],[1.0],4000000.0,E01022098
75655,"['E01022098', 'E01018238']","[0.923, 0.077]",4000000.0,E01022098
75656,"['E01018238', 'E01022098']","[0.81, 0.19]",4000000.0,E01018238
75657,"['E01018238', 'E01018302']","[0.973, 0.027]",4000000.0,E01018238
75658,"['E01018302', 'E01018238', 'E01018239']","[0.745, 0.249, 0.005]",4000000.0,E01018302
75659,"['E01018302', 'E01018303', 'E01018291', 'E01018280']","[0.677, 0.176, 0.14, 0.007]",4000000.0,E01018302
75660,"['E01018291', 'E01018280', 'E01018303', 'E01018293', 'E01018254']","[0.929, 0.063, 0.006, 0.001, 0.0]",4000000.0,E01018291
75661,"['E01018292', 'E01018294', 'E01018293', 'E01018291', 'E01018280', 'E01018295']","[0.33, 0.239, 0.232, 0.192, 0.007, 0.0]",4000000.0,E01018292
75662,"['E01018292', 'E01018003', 'E01017995', 'E01018002', 'E01017993', 'E01018294']","[0.345, 0.321, 0.164, 0.122, 0.044, 0.004]",4000000.0,E01018292
